year,month,day_type,zone_name,dir,avg_daily_zone_vol,dir_avg_daily_vol,zone_vol_percent,avg_trip_duration,avg_trip_length
2019,3,2: Weekday2 (M-F),LT-WB,WB,159480,527047,30.25916094769536682700,4564,29.6
2019,3,2: Weekday2 (M-F),OB-WB,WB,47809,527047,9.07110751033589034800,4253,39.5
2019,3,3: Weekday3 (Tu-Th),BB-EB,EB,13384,479711,2.79001315375298877900,3884,24.9
2019,3,3: Weekday3 (Tu-Th),GB-EB,EB,62810,479711,13.09329992432944001700,5321,45
2019,3,3: Weekday3 (Tu-Th),GWB-EB,EB,167772,479711,34.97355699577453925400,5448,43.9
2019,3,3: Weekday3 (Tu-Th),HT-EB,EB,59070,479711,12.31366385177742432400,4373,23
2019,3,3: Weekday3 (Tu-Th),LT-EB,EB,129175,479711,26.92767103526915163500,4387,25.8
2019,3,3: Weekday3 (Tu-Th),OB-EB,EB,47500,479711,9.90179503909645599100,4460,39.4
2019,3,3: Weekday3 (Tu-Th),BB-WB,WB,10042,525458,1.91109470214555682900,3694,22.2
2019,3,3: Weekday3 (Tu-Th),GB-WB,WB,59402,525458,11.30480457048898294400,5105,45.6
2019,3,3: Weekday3 (Tu-Th),GWB-WB,WB,170004,525458,32.35348971754164938000,5177,43.9
2019,3,3: Weekday3 (Tu-Th),HT-WB,WB,76562,525458,14.57052704497790499000,4789,28.3
2019,3,3: Weekday3 (Tu-Th),LT-WB,WB,163527,525458,31.12085076257284121700,4561,29.2
2019,3,3: Weekday3 (Tu-Th),OB-WB,WB,45921,525458,8.73923320227306464100,4148,37.9
2019,3,4: Weekend2 (F-Su),BB-EB,EB,12818,514616,2.49078924868251278600,3934,26.7
2019,3,4: Weekend2 (F-Su),GB-EB,EB,73315,514616,14.24654499665770205400,5738,55.2
2019,3,4: Weekend2 (F-Su),GWB-EB,EB,201334,514616,39.12315202014706111000,5781,52.8
2019,3,4: Weekend2 (F-Su),HT-EB,EB,52052,514616,10.11472632020768884000,4768,26.9
2019,3,4: Weekend2 (F-Su),LT-EB,EB,108949,514616,21.17093133520916566900,4599,30.8
2019,3,4: Weekend2 (F-Su),OB-EB,EB,66148,514616,12.85385607909586954200,4598,44.5
2019,3,4: Weekend2 (F-Su),BB-WB,WB,9338,550026,1.69773792511626723100,3478,21.6
2019,3,4: Weekend2 (F-Su),GB-WB,WB,70717,550026,12.85702857683091344800,5491,57.1
2019,3,4: Weekend2 (F-Su),GWB-WB,WB,204628,550026,37.20333220611389279800,5432,52.5
2019,3,4: Weekend2 (F-Su),HT-WB,WB,71839,550026,13.06101893365040925300,5250,33.3
2019,3,4: Weekend2 (F-Su),LT-WB,WB,127385,550026,23.15981426332573369300,4826,34.3
2019,3,4: Weekend2 (F-Su),OB-WB,WB,66119,550026,12.02106809496278357800,4311,43.5
2019,3,5: Weekend Day (Sa-Su),BB-EB,EB,11945,519119,2.30101383305176655100,3878,26.8
2019,3,5: Weekend Day (Sa-Su),GB-EB,EB,76337,519119,14.70510615099813337600,5692,56.8
2019,3,5: Weekend Day (Sa-Su),GWB-EB,EB,209946,519119,40.44275012087787193300,5731,54.3
2019,3,5: Weekend Day (Sa-Su),HT-EB,EB,47832,519119,9.21407230326765154000,4920,28.4
2019,3,5: Weekend Day (Sa-Su),LT-EB,EB,100163,519119,19.29480523733479221500,4649,32.8
2019,3,5: Weekend Day (Sa-Su),OB-EB,EB,72896,519119,14.04225235446978438500,4612,45.9
2019,3,5: Weekend Day (Sa-Su),BB-WB,WB,8756,543427,1.61125597366343593500,3325,21.2
2019,3,5: Weekend Day (Sa-Su),GB-WB,WB,71357,543427,13.13092650898832777900,5295,57.6
2019,3,5: Weekend Day (Sa-Su),GWB-WB,WB,210916,543427,38.81220476715363793100,5277,53.2
2019,3,5: Weekend Day (Sa-Su),HT-WB,WB,68409,543427,12.58844334197601517800,5417,35.2
2019,3,5: Weekend Day (Sa-Su),LT-WB,WB,112985,543427,20.79120102608077993900,4903,36.9
2019,3,5: Weekend Day (Sa-Su),OB-WB,WB,71004,543427,13.06596838213780323800,4191,43.4
2019,4,0: All Days (M-Su),BB-EB,EB,11829,525443,2.25124323665935220400,4006,26.3
2019,4,0: All Days (M-Su),GB-EB,EB,75168,525443,14.30564304786627664700,5829,54.4
2019,4,0: All Days (M-Su),GWB-EB,EB,194558,525443,37.02742257485588351200,5913,53
2019,4,0: All Days (M-Su),HT-EB,EB,56643,525443,10.78004655119584807500,4524,25.1
2019,4,0: All Days (M-Su),LT-EB,EB,125473,525443,23.87946932397995596100,4465,27.9
2019,4,0: All Days (M-Su),OB-EB,EB,61772,525443,11.75617526544268360200,4766,45
2019,4,0: All Days (M-Su),BB-WB,WB,8288,563305,1.47131660468130053900,3510,21.4
2019,4,0: All Days (M-Su),GB-WB,WB,74509,563305,13.22711497323829896800,5637,56.6
2019,4,0: All Days (M-Su),GWB-WB,WB,195073,563305,34.63008494510078909300,5617,52
2019,4,0: All Days (M-Su),HT-WB,WB,74565,563305,13.23705630164830775500,4982,31
2019,4,0: All Days (M-Su),LT-WB,WB,150231,563305,26.66956622078625256300,4685,31.5
2019,4,0: All Days (M-Su),OB-WB,WB,60639,563305,10.76486095454505108200,4436,43.5
2019,4,1: Weekday (M-Th),BB-EB,EB,13737,507395,2.70735817262684890500,3874,24.3
2019,4,1: Weekday (M-Th),GB-EB,EB,68159,507395,13.43312409464027040100,5598,49.8
