date,crossing_name,auto,bus,truck,total,date2,day_type
2019-02-23,HT,41273.0,221.0,661,42155,2019-02,5
2019-02-23,LT,47679.0,3282.0,1384,52345,2019-02,5
2019-02-23,OBX,40264.0,65.0,925,41254,2019-02,5
2019-02-24,BB,5242.0,3.0,82,5327,2019-02,6
2019-02-24,GB,44119.0,133.0,838,45090,2019-02,6
2019-02-24,GWB,128502.0,807.0,3691,133000,2019-02,6
2019-02-24,HT,37443.0,216.0,237,37896,2019-02,6
2019-02-24,LT,42904.0,2798.0,703,46405,2019-02,6
2019-02-24,OBX,37163.0,89.0,517,37769,2019-02,6
2019-02-25,BB,7498.0,31.0,387,7916,2019-02,0
2019-02-25,GB,39695.0,403.0,3758,43856,2019-02,0
2019-02-25,GWB,116146.0,1242.0,11477,128865,2019-02,0
2019-02-25,HT,36556.0,449.0,1542,38547,2019-02,0
2019-02-25,LT,38810.0,7014.0,3556,49380,2019-02,0
2019-02-25,OBX,34977.0,104.0,1978,37059,2019-02,0
2019-02-26,BB,8021.0,30.0,630,8681,2019-02,1
2019-02-26,GB,39029.0,412.0,4627,44068,2019-02,1
2019-02-26,GWB,115714.0,1256.0,13206,130176,2019-02,1
2019-02-26,HT,37907.0,471.0,1527,39905,2019-02,1
2019-02-26,LT,40242.0,7046.0,3628,50916,2019-02,1
2019-02-26,OBX,36751.0,102.0,2579,39432,2019-02,1
2019-02-27,BB,8466.0,33.0,624,9123,2019-02,2
2019-02-27,GB,39559.0,413.0,4628,44600,2019-02,2
2019-02-27,GWB,114402.0,1304.0,13142,128848,2019-02,2
2019-02-27,HT,38414.0,427.0,1575,40416,2019-02,2
2019-02-27,LT,42044.0,7036.0,3755,52835,2019-02,2
2019-02-27,OBX,35923.0,99.0,2425,38447,2019-02,2
2019-02-28,BB,9416.0,47.0,627,10090,2019-02,3
2019-02-28,GB,40381.0,450.0,4484,45315,2019-02,3
2019-02-28,GWB,119341.0,1252.0,12983,133576,2019-02,3
2019-02-28,HT,40605.0,473.0,1520,42598,2019-02,3
2019-02-28,LT,42935.0,7082.0,3595,53612,2019-02,3
2019-02-28,OBX,38532.0,117.0,2468,41117,2019-02,3
2019-03-01,BB,8293.0,38.0,616,8947,2019-03,4
2019-03-01,GB,42624.0,461.0,4233,47318,2019-03,4
2019-03-01,GWB,125548.0,1397.0,12206,139151,2019-03,4
2019-03-01,HT,38858.0,435.0,1533,40826,2019-03,4
2019-03-01,LT,39476.0,7069.0,3552,50097,2019-03,4
2019-03-01,OBX,37246.0,90.0,2390,39726,2019-03,4
2019-03-02,BB,4905.0,6.0,143,5054,2019-03,5
2019-03-02,GB,38748.0,160.0,1434,40342,2019-03,5
2019-03-02,GWB,117998.0,884.0,4974,123856,2019-03,5
2019-03-02,HT,36115.0,213.0,610,36938,2019-03,5
2019-03-02,LT,40430.0,3204.0,1334,44968,2019-03,5
2019-03-02,OBX,34016.0,77.0,1034,35127,2019-03,5
2019-03-03,BB,5196.0,9.0,161,5366,2019-03,6
2019-03-03,GB,37998.0,133.0,785,38916,2019-03,6
2019-03-03,GWB,113907.0,725.0,3683,118315,2019-03,6
2019-03-03,HT,36356.0,195.0,262,36813,2019-03,6
2019-03-03,LT,41793.0,2680.0,724,45197,2019-03,6
2019-03-03,OBX,34125.0,83.0,887,35095,2019-03,6
2019-03-04,BB,5426.0,37.0,362,5825,2019-03,0
2019-03-04,GB,30732.0,340.0,2703,33775,2019-03,0
2019-03-04,GWB,96382.0,981.0,9995,107358,2019-03,0
2019-03-04,HT,31116.0,392.0,1276,32784,2019-03,0
2019-03-04,LT,32052.0,6268.0,2742,41062,2019-03,0
2019-03-04,OBX,26941.0,76.0,1565,28582,2019-03,0
2019-03-05,BB,8177.0,35.0,620,8832,2019-03,1
2019-03-05,GB,39209.0,453.0,4741,44403,2019-03,1
2019-03-05,GWB,115718.0,1277.0,13464,130459,2019-03,1
2019-03-05,HT,38254.0,498.0,1541,40293,2019-03,1
2019-03-05,LT,41249.0,7037.0,3599,51885,2019-03,1
2019-03-05,OBX,36513.0,102.0,2565,39180,2019-03,1
